id_mrp	order	kode	color	width	qty_gross	supplier	tipe	po	price	amount	currency	rate	price_usd	amount_usd	kk	qty_sisa
95	BL-HDM0192	ZNYC25I130H3	BLACK	-	2877	PT.YKK INDONESIA	Local	MBL22021	0.47	1354.2	USD	1	0.4707	1354.2	-	2877
96	BL-HDM0192	ZNYC25I135H3	BLACK	-	2956	PT.YKK INDONESIA	Local	MBL22021	0.48	1404.4	USD	1	0.4751	1404.4	-	2956
97	BL-HDM0192	ZNYC25I140H3	BLACK	-	1905	PT.YKK INDONESIA	Local	MBL22021	0.48	913.26	USD	1	0.4794	913.26	-	1905
98	BL-HDM0192	ZNYC25I145H3	BLACK	-	956	PT.YKK INDONESIA	Local	MBL22021	0.48	462.42	USD	1	0.4837	462.42	-	956
99	BL-HDM0192	ZNYC25I150H3	BLACK	-	182	PT.YKK INDONESIA	Local	MBL22021	0.49	88.82	USD	1	0.488	88.82	-	182
100	BL-HDM0192	ZNYC25I155H3	BLACK	-	83	PT.YKK INDONESIA	Local	MBL22021	0.49	40.86	USD	1	0.4923	40.86	-	83
101	BL-HDM0192	ZNYC5I060RH	BLACK	-	2115	PT.YKK INDONESIA	Local	MBL22021	0.28	590.09	USD	1	0.279	590.09	-	2115
102	BL-HDM0192	ZNYC5I065PT	BLACK	-	1058	PT.YKK INDONESIA	Local	MBL22021	0.22	236.15	USD	1	0.2232	236.15	-	1058
103	BL-HDM0192	ZNYC5I065RH	BLACK	-	5832	PT.YKK INDONESIA	Local	MBL22021	0.29	1694.2	USD	1	0.2905	1694.2	-	5832
104	BL-HDM0192	ZNYC5I070PT	BLACK	-	2916	PT.YKK INDONESIA	Local	MBL22021	0.25	715.59	USD	1	0.2454	715.59	-	2916
105	BL-HDM0192	ZNYC5I070RH	BLACK	-	2861	PT.YKK INDONESIA	Local	MBL22021	0.29	822.82	USD	1	0.2876	822.82	-	2861
106	BL-HDM0192	ZNYC5I075PT	BLACK	-	1431	PT.YKK INDONESIA	Local	MBL22021	0.22	314.68	USD	1	0.2199	314.68	-	1431
107	BL-HDM0192	ZNYC5I075RH	BLACK	-	2380	PT.YKK INDONESIA	Local	MBL22021	0.29	694.72	USD	1	0.2919	694.72	-	2380
108	BL-HDM0192	ZNYC5I080PT	BLACK	-	133	PT.YKK INDONESIA	Local	MBL22021	0.22	29.82	USD	1	0.2242	29.82	-	133
